TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
55601,6787,6878,7089,7582,7738,5826,4050,2014,42660,681,62,55601,4204,12119,10552,7587,25957,25015,942,21.24906079,6,55036,10523,42438,20181,15193,3644,5462,1326,3345
14523,331,374,532,389,1635,488,246,296,2795,31,146,14523,396,516,563,21069,2693,1126,31,83.32157211,51,203360,53519,170912,68790,50761,14692,20520,5479,13414
24881,2732,3268,3201,3074,3278,3076,2244,1048,12209,113,46,24881,4901,6486,4566,6788,8373,7940,433,9.508783681,5,26201,6150,19689,11325,8013,2373,3870,887,2159
22400,2456,3029,3113,3038,3115,2545,1723,785,17211,53,26,22400,2650,7471,3846,4400,8661,8317,344,8.560618723,0,22580,4773,17813,9190,6894,1789,2511,595,1533
57840,7095,6742,6884,7474,7844,6965,4931,2335,55456,185,70,57840,7861,13489,13267,7527,25006,24128,878,22.10474049,6,57667,13600,44448,20584,15112,4661,6017,1507,4101
10138,1198,1395,1446,1274,1356,1219,703,417,2661,19,76,10138,1760,2817,1582,3610,4776,4552,224,3.874444313,0,10478,2371,8001,4853,3664,873,1651,360,804
19680,2351,2286,2337,2318,2491,2683,1660,1093,10283,259,10,19680,2141,6091,3421,4731,8914,8487,427,7.521115021,7,20126,5151,15302,8891,6304,1741,2841,662,1588
114277,13141,15463,13865,13727,15325,14641,8979,4499,86026,1102,126,114277,12620,25653,26643,502,45972,43833,2139,43.6732958,24,115527,27115,89582,48041,36639,9158,13182,3204,8146
33615,3869,4380,3734,4078,4761,4492,2972,1517,19182,446,15,33615,4383,9060,7003,6181,15276,14679,597,12.84666064,0,33895,8501,26623,14836,10410,2870,4664,1068,2618
26032,2554,2852,2504,3204,3873,3946,2835,1283,24217,88,8,26032,3692,7157,5417,4180,11622,11207,415,9.948661902,0,25855,7513,21042,11769,8227,2540,3353,814,2282
44153,5652,5566,5233,5655,5932,5359,3334,1604,38459,215,77,44153,5302,13125,7147,7542,19476,18773,703,16.87397315,6,43805,9429,33662,18925,13599,3672,5115,1185,3181
12841,1324,1402,1289,1478,1947,1824,1371,717,7343,23,0,12841,1754,3606,2851,2806,4694,4434,260,4.907451117,0,13188,3759,10274,5876,4408,1212,1976,464,1135
23920,2704,2911,2557,2871,3419,2996,2220,1197,12781,104,5,23920,3175,7372,4205,5381,7627,7057,570,9.141517851,0,24625,6134,18725,10741,7584,2161,3575,811,2003
13275,1420,1543,1455,1604,1991,1799,1214,685,11046,32,0,13275,2275,3366,2700,2285,5963,5730,233,5.073313105,4,13407,3480,10587,5575,3801,1287,1732,418,1117
14987,1829,1687,1665,1930,2113,1851,1358,649,14234,33,11,14987,2364,4135,2518,2356,5743,5499,244,5.727588965,0,14939,3691,11575,5959,4294,1332,1665,416,1146
51909,6605,6312,6586,6896,6662,5958,3963,2099,39368,849,0,51909,4833,9723,12181,7053,20817,19995,822,19.83808738,7,51073,11027,39629,20571,14266,3564,5596,1302,3258
54762,6248,6811,6424,6666,7508,7290,4847,2650,44138,323,41,54762,6016,13927,11459,7459,23258,22184,1074,20.92841976,22,54435,14062,43392,23618,16489,4484,6429,1542,4065
12277,1367,1410,1260,1335,1754,1726,1308,683,6339,26,4,12277,1703,4315,1881,2979,4494,4259,235,4.691906967,0,12649,3542,9727,5764,4202,1239,1994,464,1139
10715,928,1165,1028,1379,1750,1746,1137,559,7167,15,18,10715,1675,3178,2424,1973,4376,4193,183,4.09495668,0,10955,3145,8938,5115,3665,1075,1662,385,997
36986,4438,4187,4094,4178,5141,5037,3508,2006,31269,172,4,36986,4530,9368,8588,7239,15617,14902,715,14.13495733,13,37519,10290,28897,14939,10865,3202,4557,1096,2983
13824,1682,1649,1557,1648,1913,1828,1181,602,10062,155,6,13824,2091,3753,2326,2661,6298,6041,257,5.283124698,0,13866,3371,10664,5616,3903,1184,1745,411,1050
83442,10276,10389,9926,10335,11234,10452,7221,3353,79985,561,72,83442,10405,20382,18559,11925,37830,36589,1241,31.88906909,12,81703,19667,64685,31416,21605,7008,8840,2195,5947
48956,6386,7013,6312,5688,6222,5750,3752,1915,36119,695,104,48956,4732,10924,12036,7743,20120,19274,846,18.70953796,6,49393,10498,37709,20251,16366,3609,5427,1294,3257
38310,4767,4753,4298,4154,5259,5112,3059,1563,10630,223,17,38310,5135,9368,8076,11841,14860,13887,973,14.64095104,18,40755,9436,29189,17157,12318,3327,6160,1392,3103
71385,8929,8600,8219,9344,9397,8595,5624,2668,66184,368,0,71385,12394,15956,13441,14975,30129,28979,1150,27.28123962,12,71194,15782,54197,28324,19186,6766,8479,2082,5694
81887,9635,11143,11007,11003,11202,9251,5758,2529,61800,581,95,81887,7594,18304,16197,8559,37215,35932,1283,31.29479399,5,80989,15929,63676,33116,22541,5393,8072,1892,4793
36748,4526,4757,4606,4695,4863,4319,3054,1501,22792,112,23,36748,4792,11546,6340,8022,14352,13696,656,14.04400075,14,37621,8677,28529,15357,10755,3270,4944,1148,2914
102501,11836,12828,11852,13307,13726,13446,8812,4251,82796,852,0,102501,11147,23665,24416,17509,43096,41328,1768,39.17285624,56,103132,25122,80504,43607,29786,8502,12221,2878,7643
16433,1878,1966,1777,1994,2235,2258,1595,787,14076,72,0,16433,2060,4868,3273,3801,6482,6215,267,6.280207477,12,16657,4604,12961,6463,4510,1522,2009,504,1356
31363,4182,3921,3654,4141,4041,3554,2389,1266,28738,107,78,31363,4835,7666,5632,5939,14203,13673,530,11.98601272,7,31507,7054,23668,12243,8520,2634,3496,862,2285
26314,2981,2859,2953,3249,3627,3643,2414,1252,22951,90,19,26314,3891,6924,5720,5537,10851,10425,426,10.05643398,6,26572,6716,20546,11517,8835,2553,3429,829,2268
8233,993,996,866,798,1098,1287,750,447,1519,22,0,8233,1406,2149,1689,2459,2838,2647,191,3.146409551,0,8533,2352,6408,3996,2922,859,1641,369,802
14726,1888,1884,1623,1601,2022,1936,1201,705,5988,42,2,14726,1647,4292,2711,3705,5991,5686,305,5.62784247,0,14995,3945,11332,6560,5167,1292,2265,516,1187
17209,1841,1812,1914,2157,2247,2568,1734,886,12280,64,4,17209,2412,4081,3487,3037,6766,6466,300,6.576771768,0,17110,4834,13662,7147,4918,1501,2272,547,1380
104722,12878,12814,13302,12976,13919,12637,8358,4345,72324,1110,99,104722,10261,22680,23681,17032,45150,43325,1825,40.02165687,66,104108,23474,80602,41884,28130,8006,12957,2878,7367
51736,5632,5964,5636,6726,7205,7208,4858,2249,47215,303,57,51736,6526,15181,10238,10046,23241,22286,955,19.77197189,10,52326,13441,40930,21354,15103,4978,6307,1582,4415
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,251.9649966,471,659460,138161,509229,233701,175684,41253,68819,17072,38899
13844,1498,1463,1471,1763,1903,1851,1398,752,12084,14,2,13844,1741,3950,2967,2374,5721,5503,218,5.290768107,0,14021,3811,10883,5923,3951,1345,1823,442,1213
92387,9570,13573,10214,10553,12179,12140,8410,4407,80358,708,52,92387,7979,22812,17453,12645,42141,40375,1766,35.30758402,48,92590,23452,74219,34665,25531,6987,9794,2469,6397
32957,3767,3916,3646,4145,5014,4261,2930,1260,25772,77,7,32957,4919,9710,6028,6297,13919,13336,583,12.59519247,6,33288,7710,25842,11977,9303,2956,3964,958,2523
14523,331,374,532,389,18752,15105,8719,3912,115690,31,148,14523,9049,22855,30707,502,2693,1126,2703,62.65341045,28,156597,24513,129048,55106,41424,9275,14475,3551,8188
96174,11361,11370,13004,13397,14143,10741,6670,3093,78056,1535,0,96174,10123,19463,18341,10633,42393,40890,1503,36.75486362,10,91695,18399,74478,36584,24876,6606,9737,2298,5840
9974,1276,1286,1094,1083,1459,1311,866,435,2585,44,4,9974,1588,2722,1750,2474,3625,3360,265,3.811768355,0,10362,2481,7718,4764,3535,932,1719,385,849
18439,1694,3437,1671,1781,2355,2541,1615,838,3128,112,3,18439,2215,3658,3752,5031,7816,7389,427,7.046841457,0,19358,4854,15321,8870,7048,1489,3037,697,1425
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,140.0727417,100,353213,70040,286553,127744,94849,20400,34952,8511,20256
19066,2364,2332,2075,2260,2571,2475,1643,966,8939,58,35,19066,2192,5378,3869,4499,7589,7209,380,7.286462347,5,19743,5124,14731,8435,6570,1629,2804,645,1508
29763,3232,3376,3273,3708,4275,3834,2907,1576,27986,97,19,29763,4343,7435,6770,5844,12549,12036,513,11.37453996,4,30058,8196,23580,12285,8253,2823,3558,902,2495
96109,13202,11760,11415,11750,12618,11151,7625,3663,89384,705,0,96109,12151,19818,19442,17341,42598,41157,1441,36.73002254,20,94738,21466,72173,39015,28075,7986,10471,2569,7011
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,158.1257108,157,414328,88103,317046,155134,116990,28849,45540,11166,28026
21067,2298,2494,2141,2506,3019,2889,1893,1051,11612,99,9,21067,2409,6805,3464,4560,7158,6716,442,8.051185475,8,21745,5536,16524,9388,6957,2012,3235,750,1838
14523,331,374,532,389,1635,488,246,296,81145,31,0,14523,396,516,563,502,2693,1126,31,86.27995379,88,227120,44214,172989,89485,63314,14595,27581,6253,13991
119089,14531,14369,14299,15005,16956,14526,9376,4749,98591,836,0,119089,396,24350,26356,15419,56339,54356,1983,45.51230014,34,119157,26739,91921,45187,34378,8910,12583,3088,8042
9140,1032,1346,897,960,1046,1131,804,473,2791,55,4,9140,1275,2293,1334,2943,3397,3175,222,3.493038176,0,9680,2278,7198,4435,3174,926,1632,378,845
19938,2107,2602,2524,2371,2923,2568,1671,911,11530,67,67,19938,2829,5352,4425,4177,7805,7449,356,7.619715005,4,20170,4974,16017,8970,6711,1784,2883,669,1612
33338,3580,8134,3336,3278,3521,3350,2279,1206,19163,710,30,33338,3660,6405,4657,7315,15230,14544,686,12.74079942,9,33287,6441,27010,13764,10156,2336,3626,887,2064
22725,2630,2655,2317,2672,3279,3126,2109,1073,17689,89,26,22725,3340,5719,4329,4375,9538,9155,383,8.684824129,0,22530,6129,17851,9782,6444,2013,2880,682,1796
57781,7989,8263,7802,7032,7630,6332,3656,1813,28865,507,162,57781,6495,12583,13434,12384,23753,22798,955,22.08219243,8,58480,10680,43813,22378,16780,4127,6821,1584,3613
88690,10885,10434,11652,11848,12364,10710,6812,2989,77839,790,67,88690,9255,21865,19587,10432,39683,38296,1387,33.89469976,6,86937,18943,68564,36408,26054,6712,8914,2181,5711
14523,331,374,532,389,1635,488,246,296,2795,31,125,14523,11258,29106,563,16916,2693,1126,31,82.43684745,32,208721,41610,165062,71797,53975,11446,17570,4464,10912
12691,1343,2663,1044,1196,1540,1670,880,636,3205,256,4,12691,1238,2969,1936,4076,4768,4487,281,4.850125545,0,13084,3005,10284,5496,4155,1020,1946,456,954
79828,8787,10267,9598,10130,11004,10425,6567,3032,51346,525,22,79828,10671,19607,17827,14825,34978,33481,1497,30.50790498,14,80888,18842,62910,36113,24346,6955,10465,2427,6165
40497,4573,4809,4119,4642,5793,6048,4039,1847,28523,251,24,40497,5581,9402,8355,7839,17772,17028,744,15.47675788,6,40756,11006,32128,15892,11245,3725,5377,1295,3349
14523,331,374,532,389,1635,488,11646,6167,2795,31,138,14523,396,516,563,502,2693,1126,31,79.83961688,84,204424,36426,165150,75284,56151,12334,19810,4691,10770
63711,7777,7740,7024,7958,8787,8392,5712,2657,57950,386,69,63711,8606,16685,14479,11231,25132,24064,1068,24.34846337,12,64927,16386,49568,26556,18142,5870,7386,1828,5069
16378,1801,1959,1751,2011,2358,2180,1418,708,10838,148,18,16378,2243,4954,2996,2846,6667,6278,389,6.259188101,0,16746,4103,12774,6941,4458,1506,2214,518,1331
10627,1314,1317,1123,1189,1339,1426,887,522,2915,25,2,10627,1662,2903,1738,3504,2734,2472,262,4.061325677,0,10919,2751,8102,4769,3670,991,1770,405,911
23660,2523,2549,2489,2953,3545,3220,2417,1162,22757,87,48,23660,3755,6420,4683,4338,9781,9371,410,9.042153527,4,23968,6575,18827,9848,6797,2342,2947,731,2062
5723,364,994,968,1112,1100,645,129,35,1910,31,135,5723,459,1664,1309,550,3615,3487,128,4.594306233,0,5784,707,5085,1996,1546,254,571,119,268
14523,331,374,532,389,1635,488,246,6057,2795,31,0,14523,11867,516,563,502,2693,1126,31,234.0406868,73,298225,43608,220199,81868,60995,12059,19490,5309,11289
18216,3920,2826,2351,1671,2011,1417,590,216,1876,174,43,18216,1798,4371,2314,5869,7400,6455,945,14.62342868,0,17957,2082,11674,5557,4319,1373,1839,472,1069
877,111,123,119,103,151,121,48,25,398,12,3,877,36,225,240,96,441,413,28,0.704037492,0,917,164,710,293,227,55,83,22,52
2059,219,275,303,330,356,277,81,28,1707,110,1,2059,25,418,461,135,1088,1003,85,1.652922686,0,2303,481,1675,583,456,108,157,44,103
5000,980,790,636,461,629,491,195,76,826,45,12,5000,370,1138,835,1091,2027,1861,166,4.013896761,0,4974,701,3422,1564,1194,338,478,125,286
98971,14394,20530,15401,10435,10663,9536,4434,1506,74934,31,0,98971,3381,13785,24520,8104,46101,43426,2675,79.45187528,13,100031,13950,75110,27556,22533,3958,5756,1653,3615
2474,200,207,296,292,408,478,236,87,1971,26,0,2474,57,561,553,259,1092,988,104,1.986076118,0,2537,727,2050,785,580,151,223,65,153
2151,217,187,231,258,370,393,211,70,1048,32,1,2151,143,598,546,370,1158,1012,146,1.726778387,0,2146,645,1754,823,593,167,260,69,170
32113,3731,4374,4853,4195,4580,4001,1843,679,22071,31,0,32113,878,4584,8138,2299,17232,16470,762,25.77965334,9,32434,5907,25283,8394,6321,1416,2135,621,1397
58533,7285,6931,7285,6720,8186,8913,4466,1585,48743,1042,0,58533,2902,12989,15008,7103,26497,24453,2044,46.98908383,6,57961,13154,45306,18050,14770,3555,4846,1384,3351
13918,1695,1787,1928,1642,1958,1851,954,394,9313,1171,49,13918,701,2865,3671,1244,7026,6604,422,11.17308303,4,13745,2951,10816,4909,3764,778,1148,313,734
13345,2003,2011,2053,1535,1736,1402,645,220,7367,31,128,13345,889,2747,2863,1073,6210,5848,362,10.71309046,0,13773,1915,9928,3603,2551,568,945,239,529
8303,2114,1374,1005,664,800,514,197,91,319,41,1,8303,880,2117,760,2905,2708,2169,539,6.665476962,0,8129,674,4912,2734,2117,716,895,229,522
1587,274,226,207,189,223,157,68,28,377,50,5,1587,123,356,237,288,739,653,86,1.274010832,0,1301,189,1134,530,407,115,164,42,97
107610,15714,13830,15502,13284,14003,12209,5533,1904,89048,1884,0,107610,5068,21381,25899,10937,47654,44014,31,86.3870861,14,101135,16358,78750,31737,24098,5513,6996,2049,4681
10008,2063,1546,1362,1012,1080,800,334,114,1567,152,16,10008,872,2347,1457,2168,4113,3636,477,8.034215758,0,9869,1151,6541,3229,2472,665,903,233,536
9872,1568,1382,1509,1247,1703,851,257,106,3229,599,0,9872,666,2797,1968,1094,3413,3173,240,7.925037766,0,9757,1157,7259,3147,2454,521,814,200,475
7671,1637,1263,979,721,879,514,242,138,921,63,18,7671,759,1982,956,1604,2924,2508,416,6.158120411,0,7715,851,4965,2504,1961,526,739,186,432
3221,402,364,392,389,463,525,255,96,2426,105,26,3221,219,680,647,232,1404,1282,122,2.585752294,0,3275,778,2551,978,704,190,278,77,188
6422,807,664,786,708,1023,1002,480,137,3018,62,30,6422,440,1668,1577,1057,2899,2584,315,5.155449,0,6473,1381,4951,2302,1634,485,705,185,457
8647,952,1128,1225,1115,1132,1138,548,312,5613,702,36,8647,371,1741,2026,656,4408,4225,183,6.941633059,0,8810,1829,6793,2220,1800,433,658,189,431
1148,117,139,245,175,147,155,69,27,987,29,4,1148,51,189,296,49,836,754,82,0.921590696,0,1038,175,966,352,279,55,77,23,53
6918,1013,852,928,851,924,885,454,146,5353,163,32,6918,436,1451,1717,918,2940,2658,282,5.553627559,0,6889,1256,5165,2346,1673,402,562,153,371
2503,270,262,248,248,386,473,224,113,1731,83,2,2503,219,705,563,287,1051,977,74,2.009356719,0,2475,756,2002,893,605,185,263,72,182
604,65,77,70,76,100,88,50,26,217,41,8,604,37,173,151,79,245,225,20,0.484878729,0,682,142,492,222,162,43,70,18,45
5327,849,653,693,516,666,726,328,137,1231,21,7,5327,496,1394,1108,1259,2545,2156,389,4.27640561,0,5453,1058,3873,1835,1301,449,663,170,408
71818,10256,9693,8356,7595,9121,8077,4887,2454,16069,323,30,71818,9085,14708,15444,502,20665,18585,2080,26.9280723,0,71602,14107,52300,25089,18200,6717,8894,2669,5693
126770,14894,15897,15096,12673,15222,17187,246,296,111195,31,0,126770,11215,20560,563,18273,49774,46985,2789,47.53225828,12,126516,35231,99458,44926,32025,7991,11673,3761,8393
142854,16059,374,17278,14547,15537,14837,7770,3371,93812,31,0,142854,8515,17604,26746,20964,2693,1126,31,53.56293465,41,138639,23195,113400,36031,27896,7322,9597,3246,6344
53889,6117,5197,5098,4672,6979,9286,7365,3464,42312,509,82,53889,5718,11144,14867,10804,21518,20251,1267,20.20561542,8,53145,18752,43062,20281,13780,4737,6121,1979,4681
38072,5570,5712,5182,4458,3901,3628,2336,1322,31115,263,81,38072,3379,7028,9526,7118,14878,14114,764,14.27505039,0,37700,6933,27785,12934,9447,2101,3201,921,2028
9483,1468,1312,1389,1109,1057,944,500,339,8550,90,11,9483,658,2155,2433,985,4280,4098,182,3.555639389,0,9368,1631,6893,2918,2254,443,751,213,444
21098,1934,1914,1801,1609,2243,3035,4224,2381,16143,205,29,21098,3606,5248,5084,4921,8938,8381,557,7.910669601,3,20477,9183,17558,9566,6075,2215,3108,970,2538
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,1653.833128,1004,4155501,808534,3358036,1319260,1000695,222293,321467,105112,214586
14523,331,20519,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,78.57051924,80,204691,73559,173811,82338,49710,19296,24750,7559,19531
110445,15926,13469,12414,11509,13441,14025,9185,4116,55688,757,127,110445,11963,20957,25708,502,40598,37447,31,41.41121927,12,107902,24267,80973,38682,26316,9193,12334,3679,8569
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,389.5991655,296,1007257,245814,822337,332209,236011,57452,88469,28191,63461
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,167.6538527,22,405537,100086,346360,177148,130231,28726,46827,12358,27761
46511,6618,5756,4973,5128,5527,5477,3908,1903,44513,355,68,46511,7127,7957,8006,11287,19325,17522,1803,17.43924324,0,46358,10530,34076,15662,12267,2500,5440,1487,2930
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,86.98549496,39,220972,85127,194306,87153,53240,18574,23017,7876,19213
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,79.53713722,42,204281,45739,158634,74673,58536,12591,20561,6229,13649
17769,2342,2088,1932,2142,2418,2388,1482,882,12810,148,7,17769,2121,4774,3646,3120,9070,8762,308,9.934473634,0,18352,4693,13695,7186,5245,1481,2120,536,1411
20046,2521,2319,2103,2463,2765,2563,1913,906,14553,51,20,20046,2465,5563,4066,3876,7683,7263,420,11.207522,6,20771,5094,15464,8485,5861,1755,2529,631,1665
41619,3854,3757,3911,4046,5625,6800,6078,3341,40200,218,27,41619,3747,11090,11007,6216,16463,15785,678,23.26877473,17,41093,15979,34235,16754,11126,3889,4966,1381,4036
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,152.4124593,30,251823,44616,201039,84302,65740,13975,20795,5240,14170
37480,4704,4363,4213,4378,5052,4684,3562,1902,35930,258,43,37480,3375,8779,9652,5472,15856,15295,561,20.95470042,24,37212,9809,28887,13982,9359,3048,3742,1021,2904
10897,1418,1220,1298,1312,1429,1357,911,536,7488,50,5,10897,1352,3120,1880,2329,4362,4166,196,6.09240583,0,10994,2825,8286,4393,3066,865,1355,332,847
5277,521,624,564,629,813,773,483,278,3994,15,1,5277,649,1636,1013,800,2404,2310,94,2.950318947,0,5194,1436,4282,2203,1627,476,679,170,457
28223,3267,3021,2940,3110,3726,4373,3013,1341,26272,436,0,28223,2788,6788,6055,4499,12639,12233,406,15.77920251,0,27782,7997,22158,10052,7755,2295,3077,818,2297
10438,1262,1245,1127,1166,1416,1459,879,587,4519,78,4,10438,1451,2954,2012,3039,3340,3110,230,5.835783431,0,11008,2835,8111,4402,3390,941,1546,385,934
22061,2292,4537,2149,2241,2456,2365,1648,933,16013,141,12,22061,1422,4021,4090,3838,9580,9214,366,12.33408874,0,22495,5000,17877,7859,5864,1377,2101,546,1352
14847,1772,1750,1604,1710,2084,1864,1488,814,14411,29,3,14847,2047,4363,2944,3035,5835,5579,256,8.300812091,0,15190,4125,11619,5718,3985,1435,1692,458,1316
24965,2423,2332,2541,2680,3613,3716,3167,1736,24136,125,10,24965,2865,7630,5464,3573,9174,8758,416,13.95768666,0,25361,8437,20228,10058,6453,2302,2946,790,2303
8018,851,843,883,984,1145,1076,758,395,6915,13,3,8018,649,2689,1438,1232,3302,3173,129,4.482785165,0,8332,2195,6264,3338,2399,695,936,240,677
23537,2708,4060,2469,2360,2795,2633,1740,1142,14387,251,10,23537,2210,5880,3602,4799,8991,8562,429,13.15930587,6,23992,5481,18666,9554,7541,1746,2713,675,1689
20891,2567,2356,2403,2433,2983,2704,1825,1066,17708,97,7,20891,2059,6333,3871,3693,8198,7840,358,11.67995322,0,20954,5270,16179,8095,6067,1688,2314,593,1610
108558,15150,16834,15145,12977,12273,10583,6519,3636,87000,1355,61,108558,7370,23120,19413,18768,54120,52462,1658,60.69371314,66,104246,19242,81468,40631,30876,6644,9386,2384,6085
63406,8198,7638,7733,7992,8477,7425,4832,2351,57609,1049,41,63406,6227,15708,13588,10027,26861,25899,962,35.44967276,8,62119,13589,47905,24938,18587,4711,6089,1577,4384
48342,7217,6454,5966,5664,6248,5140,3041,1501,21006,325,30,48342,5461,10890,9132,9056,21467,20542,925,27.0275381,0,49278,9487,35266,19099,13472,3347,5577,1311,3077
16676,2105,1953,1904,2069,2246,2011,1471,727,12415,126,8,16676,1974,4768,2964,2940,7441,7131,310,9.323388053,0,17164,4020,12770,6793,5044,1340,1945,478,1261
7182,785,773,773,753,969,1071,734,434,4020,17,4,7182,862,2284,1401,1442,2811,2687,124,4.015385764,0,7585,2206,5647,3112,2281,607,1011,244,614
11512,1603,1258,1296,1208,1508,1570,959,513,5681,73,17,11512,1677,3487,1772,2780,5443,5196,247,6.436246298,0,12094,3044,8562,5012,3699,1056,1656,403,996
18328,2141,3060,2015,1982,2280,2081,1371,872,12733,124,6,18328,1744,4150,3414,3391,7757,7369,388,10.24700505,5,18620,3890,14389,6769,4648,1331,2005,508,1287
124806,15532,374,16600,14900,14338,11670,6976,3329,104282,1633,98,124806,6483,22846,22986,18571,61476,59460,2016,69.77781059,25,121282,19658,96026,41457,31208,7097,9939,2543,6488
17810,2096,2082,2033,2127,2435,2235,1498,898,16839,186,35,17810,2106,4844,3701,3202,7406,7140,266,9.957396332,0,17803,4640,13736,6776,5124,1603,1979,517,1481
12269,1257,1144,1156,1318,1702,1926,1470,787,11830,40,2,12269,1364,3282,3140,2481,4805,4613,192,6.859477574,0,12092,4099,9748,5201,3539,1305,1600,430,1269
99154,10806,11011,10944,11125,13137,14462,10717,5741,86303,868,69,99154,8243,22357,26033,19844,40797,39146,1651,55.43602897,41,97994,28731,79213,35568,24952,8149,11133,2980,8198
18188,2099,2101,2223,2358,2590,2164,1538,736,17220,74,12,18188,1065,5517,3625,2353,8321,8062,259,10.16873242,0,18076,4063,14107,6338,4796,1268,1664,437,1231
45325,6048,5864,5771,5953,5821,4854,3285,1639,43150,182,0,45325,3767,13130,8074,7361,19755,19064,691,25.34076298,8,44197,9006,34222,16336,11978,3272,4056,1061,2936
21741,3196,2522,2351,2444,2926,2627,1760,987,14370,119,42,21741,2734,5317,4161,4424,9908,9555,353,12.15517988,8,22154,5273,16132,8530,6308,1733,2676,655,1681
33701,3560,4317,4096,4320,4640,4393,2882,1412,28803,139,24,33701,3495,9489,7464,5844,13993,13466,527,18.84189858,6,33480,8417,26787,12164,9054,2728,3642,937,2562
13341,1910,1529,1568,1489,1774,1519,1069,623,9992,75,15,13341,1515,3312,2733,2271,5922,5717,205,7.458822261,0,13472,3157,9869,4958,3819,1055,1507,384,1000
37678,4962,4540,4528,4604,4825,4469,2905,1688,35447,305,87,37678,3577,9016,7804,5302,16222,15560,662,21.06540028,12,37097,8706,28556,12752,9595,2867,3520,964,2658
13593,1247,1407,1439,1574,1965,1995,1587,937,12915,71,2,13593,1511,3825,3393,2358,4869,4599,270,7.599712989,0,13521,4226,11146,5660,3857,1281,1662,438,1276
16811,1863,2305,2266,2126,2268,2075,1399,685,13274,87,33,16811,2600,5061,3408,3732,5786,5430,356,9.398865229,0,17429,4039,13430,7057,5211,1579,2070,520,1408
68114,8180,9490,8224,7736,8990,8632,5116,2720,27331,590,78,68114,6620,18270,14074,13900,28066,26582,1484,38.08186939,34,71373,15529,53061,27960,22392,5096,8680,2089,4866
26742,3645,3366,3317,3048,3527,3017,2009,1023,24533,664,36,26742,3565,7124,3860,5761,10445,9972,473,14.95118993,8,26155,5619,20125,9997,7245,2205,2827,730,2038
6682,648,780,616,742,1023,981,769,411,4091,35,5,6682,909,2055,1192,1498,2497,2366,131,3.735840668,0,7051,2097,5452,2947,2110,636,975,246,633
16434,1930,2118,1787,1879,2224,1969,1486,877,15845,53,6,16434,1636,4551,3393,2776,6858,6589,269,9.188088227,0,16777,4447,12820,6313,4731,1388,1759,461,1321
8985,888,1272,1214,1193,1170,1078,789,460,3884,53,2,8985,1831,2770,1578,3098,2917,2776,141,5.023425381,0,9614,2289,7346,4256,3188,851,1381,335,821
13383,1146,2218,2164,1854,1820,1329,897,539,9009,43,1,13383,1910,5127,2259,2647,4041,3867,174,7.482304049,0,13885,2882,11133,5953,4631,1076,1552,378,998
12326,1475,1377,1349,1503,1661,1660,1225,554,9303,58,9,12326,1041,3758,2989,1942,5485,5196,289,6.891345715,0,12494,3272,9584,4819,3489,1013,1445,363,979
21737,2487,2481,2348,2677,3239,2819,1960,1003,20211,522,5,21737,2278,6875,4284,3950,8749,8396,353,12.15294352,0,21802,5494,17026,8209,5636,1929,2401,629,1790
73657,10215,9400,10474,9745,9377,7416,4464,2084,66146,689,59,73657,5363,16675,15846,8651,33853,32766,1087,41.18090632,0,71568,12771,54648,25439,18854,4377,5913,1518,3985
16481,2112,1840,1854,1939,2296,2210,1399,683,15535,133,83,16481,2242,5037,2382,3002,7426,7213,213,9.214365466,0,15907,3897,12577,5957,4226,1463,1833,465,1336
16722,1687,1429,1494,1612,2464,3168,2257,938,15989,112,10,16722,1636,4583,4091,3082,6506,6237,269,9.349106202,0,16374,6057,13606,7059,4517,1733,2232,585,1720
43592,5774,5632,5539,5366,5724,5050,3309,1720,31106,219,31,43592,4170,10680,9967,9228,19722,18772,950,24.37185968,0,43760,9791,33289,15586,12384,3287,4719,1195,3089
41239,5798,5535,5045,4729,5447,4666,2608,1430,25478,202,13,41239,5305,10630,8066,10325,17510,16515,995,23.05632046,5,43534,8720,30494,17794,13112,3341,5006,1179,2959
