TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
58807,9126,7265,9117,7701,6519,5816,3099,1694,55642,797,31,58807,1815,7635,11868,2585,33445,32677,768,36.06135213,0,53147,8390,42342,16407,12957,1769,3327,939,2222
3821,661,440,421,371,482,471,273,143,2153,12,2,3821,237,915,773,794,1712,1641,71,2.34309566,0,3882,850,2698,1355,1028,220,372,101,258
5546,854,564,601,627,694,688,433,302,5337,14,4,5546,443,1234,1092,514,3083,3006,77,3.400892053,0,5515,1423,4019,1643,1310,253,415,124,312
2407,332,194,228,221,284,334,249,262,2349,9,2,2407,290,581,595,379,1034,995,39,1.476009227,0,2366,820,1815,813,575,147,236,73,197
5112,743,676,624,483,634,746,404,267,4472,10,0,5112,256,1060,1168,587,2380,2289,91,3.134756612,0,4759,1287,3921,1607,1251,236,409,120,303
28294,3431,4482,4011,2998,3492,3429,1810,917,25611,322,33,28294,992,5482,6555,2309,14107,13643,464,17.35031369,3,27066,5515,21831,7945,6265,1176,1865,567,1348
2042,349,278,180,186,259,243,131,76,797,5,0,2042,237,465,379,699,758,721,37,1.252185642,0,2062,457,1415,849,647,169,257,73,181
2213,264,222,203,203,347,340,173,153,2130,10,0,2213,184,558,497,247,1199,1166,33,1.357045458,0,2255,606,1689,721,551,114,191,57,147
14523,331,374,532,389,1635,488,9712,6084,2795,31,0,14523,9551,33305,563,18035,2693,1126,31,118.2745142,54,183660,32585,143825,54357,44442,7047,12592,3587,8689
6579,970,673,730,693,936,847,512,324,5178,200,0,6579,418,1450,1628,644,4012,3891,121,4.034343457,0,6496,1527,4865,2166,1712,330,562,163,410
14309,3025,2282,1865,1396,1383,958,462,168,762,23,8,14309,1732,1827,2811,7688,3581,3211,370,8.774497725,0,14291,1355,8985,4867,3684,1034,1607,434,979
111729,14321,14478,14387,11942,14250,15739,8240,4546,92960,1454,114,111729,4623,21310,25682,14567,56253,54533,1720,68.51393223,38,108126,24271,86126,35239,25924,5206,8907,2586,6372
2922,347,274,276,293,426,459,300,227,2795,11,2,2922,127,762,755,394,1468,1426,42,1.791815106,0,2964,874,2317,1025,714,163,276,83,220
2207,243,199,198,187,306,348,242,209,2085,17,1,2207,145,603,563,217,1105,1066,39,1.353366167,0,2318,860,1728,732,534,117,201,61,160
10447,1777,1196,1006,989,1325,1275,866,551,5998,25,1,10447,756,2334,2338,2173,4856,4647,209,6.406260237,0,10250,2568,7458,3462,2677,627,1059,298,758
2429,353,233,319,252,310,364,169,127,2365,7,0,2429,140,664,529,299,1160,1126,34,1.489499963,0,2366,686,1815,751,577,117,196,57,146
6495,759,684,804,625,918,906,500,430,6203,6,1,6495,403,1631,1440,781,3238,3125,113,3.982833372,0,6478,1753,5002,2153,1586,319,514,157,401
3022,385,297,342,357,397,424,279,135,2707,8,0,3022,123,688,618,235,1829,1781,48,1.853136636,0,2994,852,2291,876,701,121,214,64,160
1392,161,118,149,135,202,248,131,93,1326,2,0,1392,43,316,320,123,817,796,21,0.853595697,0,1390,375,1100,463,352,67,121,36,93
10283,2569,1449,1209,907,883,714,299,172,894,269,0,10283,1097,1464,1613,4955,3140,2946,194,6.305692928,0,10016,1102,5965,3240,2464,704,1120,296,678
5478,719,609,533,560,801,702,507,387,4475,21,0,5478,362,1560,1108,1061,3078,2999,79,3.359193412,0,5480,1628,4214,1872,1378,328,535,159,410
8424,1128,780,1003,988,1103,1125,691,524,8168,18,4,8424,380,1913,2146,775,4695,4568,127,5.165725685,0,8242,2273,6370,2793,2134,398,680,202,508
15619,2015,1705,1862,1915,2119,2086,1177,638,14793,246,6,15619,850,2886,3517,915,8149,7888,261,9.577809767,0,14929,3448,11840,4693,3718,639,1111,328,805
5587,727,569,596,565,676,794,512,422,4393,187,1,5587,384,1498,1102,812,2235,2126,109,3.42603388,4,5502,1683,4263,1929,1326,287,490,145,376
22869,2671,2890,2860,2668,3110,2989,1692,1261,21024,207,11,22869,1435,5228,4707,2296,11826,11514,312,14.02362069,10,22660,5565,18009,7723,6051,1122,1870,559,1390
2742,341,376,348,365,378,207,110,66,682,12,1,2742,253,599,482,1201,933,885,48,1.681436352,0,2837,347,1968,1077,901,207,359,89,209
76482,8431,9071,8755,9433,10807,10344,6527,3960,70118,1181,51,76482,7138,17882,16292,12433,34283,32995,1288,28.08478156,25,75538,19563,60404,27933,20960,6489,8271,2078,5561
49038,6701,6438,6097,6340,6401,5240,3441,1517,42674,522,87,49038,6015,12740,7509,6955,20592,19820,772,18.00713263,8,46854,9596,36583,18324,13645,3966,4957,1213,3158
16184,1763,1608,1646,1944,2355,2403,1816,857,15331,94,3,16184,2263,5500,2576,3068,6848,6512,336,5.942889892,0,16154,4936,12942,7150,4801,1870,2205,551,1562
14755,1160,1833,2037,2227,2374,1925,1294,545,13370,40,5,14755,2795,4318,2605,3235,4303,4053,250,5.418150047,0,14413,3372,12504,6790,4977,1576,1877,454,1293
131349,13688,15629,14788,16566,19127,17668,12167,5938,123234,1230,98,131349,9996,31875,27833,12816,62275,60266,2009,48.23236805,16,127135,32770,104790,51164,38982,10575,13065,3383,9041
106727,12355,14479,12747,13928,14416,12187,8454,4173,97000,1229,135,106727,11143,22898,21332,15216,50258,48455,1803,39.19097933,27,103666,22968,83485,42295,29554,8594,11034,2704,7180
39583,4266,4700,4221,5160,5586,5341,3825,1836,38577,133,32,39583,6979,11681,6483,8392,14752,14050,702,14.53518355,10,39824,10474,31434,17046,12008,4389,4953,1230,3495
14462,1697,1775,1705,1813,2183,1801,1210,599,13850,57,13,14462,1589,4842,2174,2022,6368,6167,201,5.310558182,0,13839,3426,11364,5704,4182,1350,1576,392,1086
28020,3297,3559,2858,3254,3855,3591,2617,1362,24301,119,13,28020,3479,8060,4527,4963,11940,11349,591,10.28916058,6,28137,7284,22034,11719,7844,2638,3264,818,2212
56351,5242,6537,6450,7231,8204,7965,5633,2920,54296,232,15,56351,7154,16384,11061,10530,24002,23010,992,20.69252276,8,56500,15434,46006,25250,16930,6108,7251,1820,5124
40439,4595,4746,5136,5464,6452,5051,2670,1083,38512,191,30,40439,4178,10120,8053,4122,21459,20872,587,14.84951337,0,39713,7818,31481,14308,10483,3113,3748,929,2467
17276,1949,2577,1900,2059,2181,1925,1316,737,15073,131,5,17276,1512,4478,3208,2555,8422,8104,318,6.343880733,0,17097,3805,13462,6761,5183,1378,1721,435,1138
31756,3167,4276,3521,4010,4421,4403,2939,1324,30599,221,9,31756,4425,8684,6050,7129,12973,12424,549,11.66104865,5,31566,8189,25696,13404,9379,3266,3858,950,2632
7717,822,767,741,912,1134,1154,898,424,7434,7,7,7717,1084,2579,1114,1601,2857,2715,142,2.833742048,0,7684,2417,6160,3427,2347,950,1116,280,807
35774,3858,3942,3750,4482,5366,5259,3550,1507,33992,155,20,35774,5440,11539,5691,7981,14847,14151,696,13.13648931,5,35262,9766,28499,15993,11257,4152,4854,1178,3312
55700,7175,6834,6600,6866,7620,6490,4410,2294,51438,588,38,55700,5095,14366,10368,8745,25484,24612,872,20.45347053,14,54074,12449,42354,20626,14527,4519,5630,1392,3779
14328,1758,1670,1664,1701,2017,1704,1203,684,11818,50,4,14328,1858,4126,2581,2736,7019,6748,271,5.261352347,0,14554,3458,10953,6206,4556,1340,1766,427,1112
59673,5727,5728,5420,6012,7921,10170,9018,3977,57832,344,65,59673,6218,17760,12341,8494,23336,22319,1017,21.91238684,12,58178,21229,49228,25459,17771,6254,7845,2028,5862
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,254.3232997,614,678322,113356,548560,205657,172796,38870,58228,15193,33256
11706,1251,1143,1193,1374,1661,1713,1238,694,11094,64,11,11706,1375,3651,2254,2083,4734,4508,226,4.29853368,0,11681,3532,9243,4913,3327,1235,1502,375,1053
20138,2303,2330,2399,2607,2960,2626,1707,768,19105,235,4,20138,2799,5894,3078,3435,7730,7387,343,7.394829254,4,19380,4748,15787,8167,5652,1856,2238,550,1517
53446,6601,6496,6726,6976,7563,6467,3873,1881,49563,344,31,53446,6015,14665,9400,7259,26257,25464,793,19.6257843,6,51341,10824,41105,19777,14551,4422,5314,1316,3531
37320,4731,4607,4320,4674,5048,4385,3025,1487,30858,296,12,37320,4416,9511,7228,6735,16239,15497,742,13.70419246,10,37751,8344,28393,14540,10108,3235,4170,1009,2698
40507,4082,4307,4402,4923,6421,6239,3975,1779,28440,287,17,40507,3869,9560,9225,5227,18769,18069,700,14.87448349,0,39336,10782,32812,17795,13256,3374,5162,1188,3040
